"complex_id","complex_name","complex_creator","complex_state","complex_ready_date","low_price","high_price","complex_location","complex_location_dist_to_center","complex_metro","complex_location_coords","complex_location_coords_lat","complex_location_coords_lon","geocoding_accurate","complex_closest_metro","complex_dist_to_metro","complex_apartment_count"
"5643","ЖК «The RESIDENCE/Резиденция»","SetlCity","Строится",NA,122000,235000,"Санкт-Петербург, район Василеостровский, просп. Малый В.О., 64",3815.57343429173,"Василеостровская, 20 мин. пешком","59.9398829:30.2501927",59.9398829,30.2501927,TRUE,"Приморская",1301.18247236479,53
"6963","ЖК «Золотые купола»","РосСтройИнвест","Строится",NA,48000,82000,"Ленинградская область, Всеволожский район, Сертолово, Черная Речка мкр",22801.9063744775,"Проспект Просвещения, 20 мин. на машине","60.1444151:30.1938428",60.1444151,30.1938428,TRUE,"Парнас",11602.4023805233,311
"7437","ЖК «Новое Янино»","ЦДС","Строится",NA,56000,83000,"Ленинградская область, Всеволожский район, Заневское городское поселение, пос. Янино-1, ул. Голландская",14498.1757300469,"Ладожская, 15 мин. на машине","59.951132:30.576263",59.951132,30.576263,TRUE,"Проспект Большевиков",7030.69184923001,609
"7080","ЖК «Усадьба на Ланском»","С.Э.Р.","Строится",NA,43000,170000,"Санкт-Петербург, район Выборгский, просп. Энгельса, 2",5427.01866485301,"Лесная, 20 мин. пешком","59.9971994:30.3295572",59.9971994,30.3295572,TRUE,"Лесная",1590.68580412143,222
"5678","ЖК «На Заречной»","Normann","Строится"," I квартал 2016 года — IV квартал 2017 года (2 очереди) ",60000,88000,"Санкт-Петербург, пос. Парголово, район Выборгский, Заречная ул., 4",13729.8252775811,"Парнас, 15 мин. пешком","60.0722132:30.3217398",60.0722132,30.3217398,TRUE,"Парнас",888.644601190008,184
"5630","ЖК «Ласточкино гнездо»","ЛенСпецСМУ","Сдан ГК"," IV квартал 2014 года ",53000,125000,"Санкт-Петербург, район Невский, ул. Русановская, 17к2",14226.9073205191,"Ломоносовская, 15 мин. на машине","59.8649768:30.5084357",59.8649768,30.5084357,TRUE,"Пролетарская",2133.45051332742,853
"7388","ЖК «Солнечный»","Арсенал-недвижимость","Строится",NA,68000,115000,"Ленинградская область, Всеволожский район, пос. Мурино, бул. Менделеева",13188.6593635115,"Девяткино, 5 мин. пешком","60.0524238:30.4314698",60.0524238,30.4314698,TRUE,"Девяткино",689.984539908634,124
"6958","ЖК «Краски Лета»","Полис Групп","Строится",NA,60000,116000,"Ленинградская область, Всеволожский район, пос. Мурино, бул. Петровский",13641.6156727594,"Девяткино, 20 мин. пешком","60.0585575:30.425662",60.0585575,30.425662,TRUE,"Девяткино",1342.51022126771,624
"6909","ЖК «Речной»","ЛенСпецСМУ","Сдан ГК",NA,74000,149000,"Санкт-Петербург, район Невский, Рыбацкий просп., 18к2",15945.6017764167,"Рыбацкое, 15 мин. пешком","59.8406004:30.5031085",59.8406004,30.5031085,TRUE,"Рыбацкое",1075.25843133662,92
"7972","ЖК «Петровская ривьера»","Северный Город","Строится",NA,136000,286000,"Санкт-Петербург, район Петроградский, Петровский просп., 26АК",17844.4442664077,"Чкаловская, 30 мин. пешком","60.0762383:30.1213829",60.0762383,30.1213829,TRUE,"Комендантский проспект",10721.13020238,260
"6335","ЖК «ЗимаЛето»","SetlCity","Строится"," III квартал 2016 года ",91000,143000,"Санкт-Петербург, район Красногвардейский, просп. Энергетиков, 9",6719.07309913956,"Ладожская, 5 мин. пешком","59.940026:30.435418",59.940026,30.435418,TRUE,"Ладожская",872.497294990393,112
"7199","ЖК «Fjord»","ЮИТ Лентек","Строится",NA,114000,213000,"Санкт-Петербург, район Василеостровский, просп. Малый В.О., 52Б",3223.84154450668,"Василеостровская, 10 мин. на машине","59.942605:30.259775",59.942605,30.259775,TRUE,"Василеостровская",1030.32562763549,454
"6881","ЖК «Мироздание»","SetlCity","Строится",NA,132000,235000,"Санкт-Петербург, район Петроградский, ул. Котовского, 4",1623.95914802102,"Петроградская, 10 мин. пешком","59.9619866:30.3291192",59.9619866,30.3291192,TRUE,"Горьковская",867.541378783052,53
"6904","ЖК «во Всеволожске»","Normann","Сдан ГК",NA,62000,94000,"Ленинградская область, Всеволожский район, Всеволожск, ул. Взлетная, 12к3",19420.2542636097,"Ладожская, 20 мин. на машине","59.9956655:30.6520783",59.9956655,30.6520783,TRUE,"Девяткино",13115.2243382797,16
"6826","ЖК «Новелла»","RBI-Элитные жилые комплексы","Сдан ГК",NA,155000,289000,"Санкт-Петербург, район Приморский, ул. Савушкина, 7к3",4310.42075127858,"Чёрная речка, 5 мин. пешком","59.986504:30.297708",59.986504,30.297708,TRUE,"Чёрная речка",209.561035346789,16
"6254","ЖК «IQ Гатчина»","Ленстройтрест","Строится"," IV квартал 2015 года ",61000,105000,"Ленинградская область, Гатчинский район, Гатчина, Въезд мкр, ш. Пушкинское, 7",44597.3592090574,"Проспект Ветеранов, 60 мин. на машине","59.5624627:30.1064659",59.5624627,30.1064659,TRUE,"Проспект Ветеранов",32154.8963965007,257
"6931","ЖК «Нью-Тон»","Ленстройтрест","Сдан ГК",NA,91000,114000,"Санкт-Петербург, район Красногвардейский, Ириновский просп., 34",9442.83674815154,"Ладожская, 20 мин. на машине","59.9606594:30.4840025",59.9606594,30.4840025,TRUE,"Ладожская",4011.63678774752,46
"8003","ЖК «Шотландия»","Навис","Строится",NA,51000,65000,"Ленинградская область, Всеволожский район, Агалатовское с/пос, д. Скотное",25993.0906331749,"Парнас, 15 мин. на машине","60.1808488:30.3701806",60.1808488,30.3701806,TRUE,"Парнас",12833.902655707,247
"7770","ЖК «Богемия»","ЛСР. Недвижимость","Строится",NA,108000,180000,"Санкт-Петербург, район Московский, Смоленская ул., 14",4960.33453598006,"Фрунзенская, 10 мин. пешком","59.904479:30.32304",59.904479,30.32304,TRUE,"Фрунзенская",370.464773506589,436
"7111","ЖК «Новое Сертолово»","КВС","Строится",NA,49000,99000,"Ленинградская область, Всеволожский район, Сертолово, Сертолово-2 мкр, ул. Мира",24125.0599178796,"Проспект Просвещения, 15 мин. на машине","60.1596568:30.2150198",60.1596568,30.2150198,TRUE,"Парнас",12241.3347213552,692
"6945","ЖК «Огни Залива»","БФА-Девелопмент","Строится",NA,85000,114000,"Санкт-Петербург, район Красносельский, просп. Героев, 27к1",13415.6240404555,"Ленинский проспект, 15 мин. на машине","59.8591726:30.1557886",59.8591726,30.1557886,TRUE,"Проспект Ветеранов",5712.35317652337,717
"7410","ЖК «Золотой век»","ЦДС","Сдан ГК",NA,82000,163000,"Санкт-Петербург, Пушкин, район Пушкинский, пер. Колокольный, 5",27251.2397049222,NA,"59.706774:30.387944",59.706774,30.387944,TRUE,"Купчино",13710.2572027465,71
"7752","ЖК «Москва»","SetlCity","Строится",NA,88000,211000,"Санкт-Петербург, район Московский, ул. Костюшко",11515.4433275043,"Московская, 10 мин. пешком","59.8456745:30.3030021",59.8456745,30.3030021,TRUE,"Московская",1213.7684344948,123
"7409","ЖК «Весна»","ЦДС","Строится",NA,56000,112000,"Ленинградская область, Всеволожский район, Заневское городское поселение, д. Кудрово, просп. Европейский, 14к4",12064.0403557722,"Улица Дыбенко, 20 мин. пешком","59.904766:30.513731",59.904766,30.513731,TRUE,"Улица Дыбенко",1723.42792472412,312
"7377","ЖК «Триумф Парк»","MirLand Development Corporation","Строится",NA,74000,283000,"Санкт-Петербург, район Московский, Дунайский просп., 7",13248.2987695013,"Звёздная, 15 мин. пешком","59.8300394:30.3278772",59.8300394,30.3278772,TRUE,"Звёздная",1257.1877627698,325
"6895","ЖК «Riverside/Риверсайд»","SetlCity","Сдан ГК",NA,123000,296000,"Санкт-Петербург, район Приморский, Ушаковская наб., 3к2",3660.60528052901,"Чёрная речка, 10 мин. пешком","59.9817351:30.3123935",59.9817351,30.3123935,TRUE,"Чёрная речка",765.454788422047,202
"7325","ЖК «Ленинградское трио»","ИПС","Строится",NA,64000,112000,"Ленинградская область, Всеволожский район, Бугровское с/пос, пос. Бугры, ул. Школьная, 6А",14049.8523290426,"Парнас, 15 мин. на машине","60.0683084:30.3980354",60.0683084,30.3980354,TRUE,"Девяткино",3213.29698335886,32
"7006","ЖК «Николаевский ансамбль»","ДК Созвездие","Строится",NA,104000,181000,"Санкт-Петербург, район Центральный, Кременчугская ул., 13к1",4352.68311027427,"Площадь Восстания, 5 мин. пешком","59.9219916:30.3728297",59.9219916,30.3728297,TRUE,"Площадь Александра Невского-2",650.858619310646,144
"5716","ЖК «Новая Охта»","ЛСР. Недвижимость","Строится",NA,58000,103000,"Санкт-Петербург, район Красногвардейский, ул. Корнея Чуковского",11936.1404467832,"Гражданский проспект, 15 мин. на машине","60.0302644:30.4558565",60.0302644,30.4558565,TRUE,"Гражданский проспект",2157.09069319527,423
"7110","ЖК «Линкор»","КВС","Сдан ГК",NA,88000,125000,"Санкт-Петербург, район Красносельский, ул. Катерников, 5к1",13898.6021307205,"Проспект Ветеранов, 20 мин. на машине","59.8536157:30.1553515",59.8536157,30.1553515,TRUE,"Проспект Ветеранов",5558.24715383732,73
"6652","ЖК «Алфавит»","Петрострой","Строится"," IV квартал 2016 года — II квартал 2018 года (4 очереди) ",53000,88000,"Ленинградская область, Всеволожский район, пос. Мурино, бул. Воронцовский",13117.7365711212,"Девяткино, 10 мин. пешком","60.0546212:30.4203447",60.0546212,30.4203447,TRUE,"Девяткино",1354.82940766425,539
"7295","ЖК «Подкова»","СК Русская Сказка","Сдан ГК",NA,62000,119000,"Ленинградская область, Всеволожский район, д. Новое Девяткино, ул. Арсенальная, 7",15112.1860168517,"Девяткино, 5 мин. на машине","60.0605247:30.4707809",60.0605247,30.4707809,TRUE,"Девяткино",1923.76120775653,50
"7002","ЖК «Дом на излучине Невы»","Северный Город","Строится",NA,97000,385000,"Санкт-Петербург, район Красногвардейский, Пискаревский просп., 3",5252.42881322692,"Площадь Ленина, 10 мин. на машине","59.9580894:30.4086476",59.9580894,30.4086476,TRUE,"Площадь Ленина",2969.92198225484,325
"6897","ЖК «Созвездие»","Навис","Строится",NA,58000,102000,"Ленинградская область, Всеволожский район, пос. Мурино, бул. Петровский",13641.6156727594,"Девяткино, 15 мин. пешком","60.0585575:30.425662",60.0585575,30.425662,TRUE,"Девяткино",1342.51022126771,120
"7391","ЖК «Северные высоты»","ЦДС","Сдан ГК",NA,64000,118000,"Ленинградская область, Всеволожский район, Бугровское с/пос, пос. Бугры, ул. Школьная, 11к1",14154.6981514623,"Проспект Просвещения","60.067945:30.405637",60.067945,30.405637,TRUE,"Девяткино",2868.75149096201,84
"6905","ЖК «Времена года»","Петрополь","Строится",NA,114000,164000,"Санкт-Петербург, район Адмиралтейский, Московский просп., 65",4708.46285377273,"Фрунзенская, 2 мин. пешком","59.9066185:30.3178913",59.9066185,30.3178913,TRUE,"Фрунзенская",45.6725185117341,498
"6941","ЖК «Salut! / Салют»","Salut","Строится",NA,74000,132000,"Санкт-Петербург, район Московский, Дунайский просп., 3",13355.245550013,"Звёздная, 10 мин. пешком","59.829063:30.327268",59.829063,30.327268,TRUE,"Звёздная",1324.08193231713,88
"6969","ЖК «Московские ворота»","ЛенСпецСМУ","Строится",NA,86000,154000,"Санкт-Петербург, район Московский, Московский просп., 115",6716.20846000983,"Московские ворота, 5 мин. пешком","59.8885882:30.3188012",59.8885882,30.3188012,TRUE,"Московские ворота",359.951886646122,1079
"6250","ЖК «Green City»","Северный Город","Строится"," II квартал 2018 года ",39000,132000,"Санкт-Петербург, район Невский, просп. Александровской фермы, 8",12349.152651331,"Пролетарская, 20 мин. пешком","59.861479:30.452394",59.861479,30.452394,TRUE,"Пролетарская",1081.87666699356,1582
"6977","ЖК «Яркий»","Normann","Строится",NA,48000,65000,"Ленинградская область, Всеволожский район, Заневское городское поселение",13761.30505134,"Ладожская, 20 мин. на машине","59.931472:30.560542",59.931472,30.560542,TRUE,"Улица Дыбенко",5073.37021343426,333
"6893","ЖК «Собрание»","RBI-Элитные жилые комплексы","Сдан ГК",NA,168000,349000,"Санкт-Петербург, район Петроградский, Большая Посадская ул., 12",1242.69045825358,"Горьковская, 10 мин. пешком","59.9591339:30.3251534",59.9591339,30.3251534,TRUE,"Горьковская",484.777699978402,113
"7209","ЖК «Дом на Школьной»","Полис Групп","Сдан ГК",NA,102000,142000,"Санкт-Петербург, пос. Шушары, район Пушкинский, Первомайская ул., 8",16133.0187525867,"Купчино, 10 мин. на машине","59.8077726:30.3818358",59.8077726,30.3818358,TRUE,"Купчино",2473.8957754091,3
"5167","ЖК «GreenЛандия»","SetlCity","Строится"," IV квартал 2014 года — III квартал 2015 года (3 очереди) ",58000,123000,"Ленинградская область, Всеволожский район, пос. Мурино, бул. Воронцовский, 6",13056.8156682409,"Девяткино, 15 мин. пешком","60.0537553:30.4213688",60.0537553,30.4213688,TRUE,"Девяткино",1268.57339777696,792
"7047","ЖК «Stockholm»","SetlCity","Строится",NA,122000,423000,"Санкт-Петербург, район Приморский, Приморский просп., 44",5420.5004888528,"Старая Деревня, 20 мин. пешком","59.9831681:30.2470847",59.9831681,30.2470847,TRUE,"Старая Деревня",829.888255219115,157
"6647","ЖК «Юттери»","Ленстройтрест","Строится"," IV квартал 2015 года ",60000,101000,"Санкт-Петербург, Колпино, район Колпинский, Понтонная ул.",27841.9292000482,"Рыбацкое, 25 мин. на машине","59.7553239:30.6315399",59.7553239,30.6315399,TRUE,"Рыбацкое",11143.7426995453,916
"5666","ЖК «Мой город»","Полис Групп","Строится"," III квартал 2014 года — I квартал 2015 года (3 очереди) ",31000,117000,"Ленинградская область, Всеволожский район, пос. Мурино, аллея Охтинская, 12",12706.3381444435,"Девяткино, 15 мин. пешком","60.0498598:30.422743",60.0498598,30.422743,TRUE,"Девяткино",1128.8649442124,298
"5657","ЖК «Юнион»","Полис Групп","Сдан ГК"," II квартал 2015 года ",60000,119000,"Санкт-Петербург, пос. Шушары, район Пушкинский, пер. Вилеровский, 6",15645.359040827,"Купчино, 15 мин. на машине","59.8103184:30.362779",59.8103184,30.362779,TRUE,"Купчино",2284.08183769029,89
"6926","ЖК «7 столиц, квартал Лондон»","SetlCity","Строится",NA,72000,133000,"Ленинградская область, Всеволожский район, Заневское городское поселение, д. Кудрово",11852.2325149524,"Улица Дыбенко, 30 мин. на машине","59.907577:30.512033",59.907577,30.512033,TRUE,"Улица Дыбенко",1603.22648324004,524
"5635","ЖК «RIO»","SetlCity","Сдан ГК"," II квартал 2014 года ",92000,149000,"Санкт-Петербург, район Невский, Дальневосточный просп.",9792.32668967948,"Проспект Большевиков, 15 мин. пешком","59.898303:30.4597898",59.898303,30.4597898,TRUE,"Улица Дыбенко",1659.33198030148,25
"7406","ЖК «Новое Мурино»","ЦДС","Строится",NA,28000,129000,"Ленинградская область, Всеволожский район, пос. Мурино, Новая ул., 7к2",12682.4970203848,"Девяткино, 15 мин. пешком","60.0418703:30.4479177",60.0418703,30.4479177,TRUE,"Девяткино",964.078515048111,988
"6252","ЖК «Шуваловский»","ЛСР. Недвижимость","Строится"," IV квартал 2016 года ",70000,108000,"Санкт-Петербург, район Приморский, Шуваловский просп.",9240.63055573349,"Комендантский проспект, 10 мин. на машине","60.0081327:30.1999637",60.0081327,30.1999637,TRUE,"Комендантский проспект",3266.7604774124,568
"7973","ЖК «Полюстрово Парк»","SetlCity","Строится",NA,83000,107000,"Санкт-Петербург, район Калининский, Кондратьевский просп., 68",5932.20530068686,"Лесная, 15 мин. на машине","59.983664:30.396923",59.983664,30.396923,TRUE,"Площадь Мужества",2484.1933577639,16
"5674","ЖК «Десяткино»","Normann","Строится"," II квартал 2015 года — IV квартал 2015 года (2 очереди) ",62000,81000,"Ленинградская область, Всеволожский район, пос. Мурино, ул. Шувалова, 10к18",12950.0412945499,"Девяткино, 15 мин. пешком","60.0518952:30.4244128",60.0518952,30.4244128,TRUE,"Девяткино",1052.87935006914,69
"7180","ЖК «Cinema»","ЛСР. Недвижимость","Строится",NA,71000,108000,"Санкт-Петербург, район Красногвардейский, просп. Маршала Блюхера",6935.99643994207,"Лесная, 10 мин. на машине","59.9745655:30.4296412",59.9745655,30.4296412,TRUE,"Площадь Мужества",4516.98101203734,413
"6946","ЖК «Калина-Парк II»","ЛСР. Недвижимость","Строится",NA,80000,116000,"Санкт-Петербург, район Калининский, просп. Маршала Блюхера, 12ДХ",17844.4442664077,"Лесная, 30 мин. на машине","60.0762383:30.1213829",60.0762383,30.1213829,TRUE,"Комендантский проспект",10721.13020238,106
"7009","ЖК «Life Приморский»","Пионер","Строится",NA,100000,286000,"Санкт-Петербург, район Приморский, Приморский просп., 54к1",4389.25636212934,"Старая Деревня, 30 мин. пешком","59.9829193:30.2763643",59.9829193,30.2763643,TRUE,"Старая Деревня",1385.45145242725,547
"8147","ЖК «Дом на набережной»","Северный Город","Строится",NA,89000,185000,"Санкт-Петербург, район Невский, Перевозная наб., 17А",7972.29124573783,"Елизаровская, 10 мин. пешком","59.9038796:30.4273488",59.9038796,30.4273488,TRUE,"Елизаровская",826.468429336231,702
